procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 278656 237200  78652 1706952    0    0     0     0  371  506  2  1 97  0  0
 0  0 278656 237200  78656 1706952    0    0     0    20  385  514  1  1 97  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0 278656 237200  78656 1706952    0    0     0     0  312  452  1  1 98  0  0
 0  0 278656 237200  78656 1706952    0    0     0     0  337  490  1  1 99  0  0
 0  0 278656 237200  78656 1706952    0    0     0     0  334  501  1  1 99  0  0
 0  0 278656 237200  78656 1706952    0    0     0     0  320  444  1  1 98  0  0
 0  0 278656 237200  78656 1706952    0    0     0     0  435  606  2  1 97  0  0
 0  0 278656 237200  78660 1706952    0    0     0    20  384  519  1  0 99  0  0
 0  0 278656 237200  78660 1706952    0    0     0     0  352  503  2  1 98  0  0
 1  0 278656 237200  78660 1706952    0    0     0     0  304  479  1  1 98  0  0
 0  0 278656 237200  78660 1706952    0    0     0     0  333  485  1  1 98  0  0
 0  0 278656 236976  78660 1706952    0    0     0     4  451  752  1  1 98  0  0
 0  0 278656 238236  78660 1706952    0    0     0     0  344  506  2  0 97  0  0
 0  0 278656 238236  78668 1706952    0    0     0    16  362  512  2  1 97  1  0
 0  0 278656 238236  78680 1706952    0    0     0    72  366  497  1  1 98  1  0
 0  0 278656 238236  78680 1706952    0    0     0     0  340  494  1  1 99  0  0
 0  0 278656 238384  78680 1706952    0    0     0     0  641  618  2  1 97  0  0
 3  0 278656 238488  78680 1706952    0    0     0     0  542 1018  1  1 99  0  0
 2  0 278656 238488  78680 1706952    0    0     0     0  374  521  2  1 98  0  0
 0  0 278656 238488  78680 1706952    0    0     0     0  386  536  2  1 97  0  0
 1  0 278656 238488  78748 1713964    0    0     4   340 1241 1629  6  3 90  2  0
 0  0 278656 238488  78748 1714020    0    0     0     0  878 1385  7  2 92  0  0
 1  0 278656 238488  78748 1707212    0    0     0     0  776 1220  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 278656 238488  78748 1707212    0    0     0     0 1478 2329 10  2 89  0  0
 0  0 278656 238488  78748 1707212    0    0     0     4  899 1614  2  1 97  0  0
 0  0 278656 238488  78748 1706916    0    0     0     0  827 1365  4  2 95  0  0
 1  0 278656 238488  78784 1706880    0    0     0   200  764 1114  4  3 93  1  0
 0  0 278656 238488  78784 1706892    0    0     0     0  555  728  2  0 98  0  0
 1  0 278656 238488  78784 1706892    0    0     0     0  336  483  1  0 99  0  0
